City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,santiago del estero,-27.7951,-64.2615,304.95,35,69,3.16,AR,1675822727
155,kudahuvadhoo,2.6708,72.8944,299.97,72,37,2.6,MV,1675822837
156,marsabit,2.3284,37.9899,292.86,43,2,2.25,KE,1675823202
157,sabha,27.0377,14.4283,284.85,38,100,5.53,LY,1675823203
158,lebu,-37.6167,-73.65,288.12,88,0,7.74,CL,1675822608
159,kavieng,-2.5744,150.7967,300.74,79,99,4.0,PG,1675823205
160,husainabad,24.5333,84.0167,289.55,49,0,2.21,IN,1675823206
161,leh,34.1667,77.5833,252.54,63,10,1.25,IN,1675822775
162,mar del plata,-38.0023,-57.5575,296.53,93,0,8.94,AR,1675822976
163,arman,59.7,150.1667,247.6,75,34,3.59,RU,1675822834
164,calatayud,41.3535,-1.6432,275.66,99,100,2.22,ES,1675823210
165,carballo,43.213,-8.691,279.21,71,57,2.8,ES,1675823212
166,klaksvik,62.2266,-6.589,281.66,84,100,25.39,FO,1675822618
167,vestmanna,62.1564,-7.1664,280.66,87,100,19.55,FO,1675822861
168,bilma,18.6853,12.9164,292.58,21,100,2.95,NE,1675822556
169,mayya,61.7333,130.2811,227.77,97,100,0.68,RU,1675823216
170,carutapera,-1.195,-46.02,297.55,93,100,1.86,BR,1675823217
171,yining,29.0361,114.5636,282.88,97,100,1.6,CN,1675823218
172,geraldton,-28.7667,114.6,302.38,45,0,3.09,AU,1675823219
173,amapa,1.0,-52.0,295.37,99,100,0.91,BR,1675823220
174,fort nelson,58.8053,-122.7002,265.34,88,0,1.54,CA,1675823221
175,port moresby,-9.4431,147.1797,299.83,83,100,7.72,PG,1675823223
176,cabo san lucas,22.8909,-109.9124,293.99,57,40,2.06,MX,1675823023
177,chokurdakh,70.6333,147.9167,235.0,99,100,1.62,RU,1675823227
178,oistins,13.0667,-59.5333,296.2,94,40,5.14,BB,1675823229
179,bundaberg,-24.85,152.35,303.27,60,64,2.24,AU,1675823230
180,lasa,46.6166,10.7002,268.72,79,30,0.23,IT,1675822582
181,pevek,69.7008,170.3133,243.38,93,100,1.31,RU,1675823233
182,rovira,4.2392,-75.24,298.36,77,22,3.3,CO,1675823235
183,camopi,3.1655,-52.3158,295.34,99,100,0.96,GF,1675823236
184,bengkulu,-3.8004,102.2655,300.46,63,74,2.39,ID,1675823238
185,ndele,8.4109,20.6473,296.05,15,99,3.13,CF,1675823239
186,vanimo,-2.6741,141.3028,298.37,95,100,3.6,PG,1675822861
187,vao,-22.6667,167.4833,299.94,70,13,6.01,NC,1675822794
188,ruwi,23.5996,58.5507,290.98,51,10,2.42,OM,1675823243
189,linjiang,41.8069,126.9078,267.11,66,20,1.49,CN,1675823245
190,katikati,-37.55,175.9167,299.86,58,63,5.6,NZ,1675823246
191,rafaela,-31.2503,-61.4867,302.59,31,0,3.25,AR,1675823036
192,castro,-24.7911,-50.0119,289.92,93,62,2.36,BR,1675823249
193,sur,22.5667,59.5289,295.63,56,27,3.49,OM,1675823239
194,ambovombe,-25.1667,46.0833,295.35,87,100,2.19,MG,1675823252
195,kholmogory,64.2229,41.656,274.04,98,100,4.02,RU,1675823253
